timestamp,value,metric
2025-01-23 22:32:11.930,1440695.0,mongodb_collstats_latencyStats_reads_latency
2025-01-23 22:32:21.930,1442612.0,mongodb_collstats_latencyStats_reads_latency
2025-01-23 22:32:31.930,1442612.0,mongodb_collstats_latencyStats_reads_latency
2025-01-23 22:32:41.930,1444469.0,mongodb_collstats_latencyStats_reads_latency
2025-01-23 22:32:51.930,1446307.0,mongodb_collstats_latencyStats_reads_latency
2025-01-23 22:33:01.930,1446307.0,mongodb_collstats_latencyStats_reads_latency
2025-01-23 22:33:11.930,1448231.0,mongodb_collstats_latencyStats_reads_latency
2025-01-23 22:33:21.930,1451268.0,mongodb_collstats_latencyStats_reads_latency
2025-01-23 22:33:31.930,1451268.0,mongodb_collstats_latencyStats_reads_latency
2025-01-23 22:33:41.930,1453117.0,mongodb_collstats_latencyStats_reads_latency
2025-01-23 22:33:51.930,1456081.0,mongodb_collstats_latencyStats_reads_latency
2025-01-23 22:34:01.930,1456081.0,mongodb_collstats_latencyStats_reads_latency
2025-01-23 22:34:11.930,1458961.0,mongodb_collstats_latencyStats_reads_latency
2025-01-23 22:34:21.930,1460910.0,mongodb_collstats_latencyStats_reads_latency
2025-01-23 22:32:11.930,92379.0,mongodb_collstats_latencyStats_writes_latency
2025-01-23 22:32:21.930,92379.0,mongodb_collstats_latencyStats_writes_latency
2025-01-23 22:32:31.930,92379.0,mongodb_collstats_latencyStats_writes_latency
2025-01-23 22:32:41.930,92379.0,mongodb_collstats_latencyStats_writes_latency
2025-01-23 22:32:51.930,92379.0,mongodb_collstats_latencyStats_writes_latency
2025-01-23 22:33:01.930,92379.0,mongodb_collstats_latencyStats_writes_latency
2025-01-23 22:33:11.930,92379.0,mongodb_collstats_latencyStats_writes_latency
2025-01-23 22:33:21.930,92379.0,mongodb_collstats_latencyStats_writes_latency
2025-01-23 22:33:31.930,92379.0,mongodb_collstats_latencyStats_writes_latency
2025-01-23 22:33:41.930,92379.0,mongodb_collstats_latencyStats_writes_latency
2025-01-23 22:33:51.930,92379.0,mongodb_collstats_latencyStats_writes_latency
2025-01-23 22:34:01.930,92379.0,mongodb_collstats_latencyStats_writes_latency
2025-01-23 22:34:11.930,92379.0,mongodb_collstats_latencyStats_writes_latency
2025-01-23 22:34:21.930,92379.0,mongodb_collstats_latencyStats_writes_latency
